BTC-Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,BTC-Adj Close,BTC-Volume,ETH-Date,ETH-Open,ETH-High,ETH-Low,ETH-Close,ETH-Adj Close,ETH-Volume,DOGE-Date,DOGE-Open,DOGE-High,DOGE-Low,DOGE-Close,DOGE-Adj Close,DOGE-Volume,LTC-Date,LTC-Open,LTC-High,LTC-Low,LTC-Close,LTC-Adj Close,LTC-Volume
27/02/2014,593.140015,629.900024,580.5,596.48999,596.48999,322887,27/02/2014,0,0,0,0,0,0,27/02/2014,0.00189,0.00198,0.00189,0.00198,0.00198,0,27/02/2014,15.85,15.85,14.58,14.84,14.84,2076
28/02/2014,596.48999,599,570,573.940002,573.940002,321170,28/02/2014,0,0,0,0,0,0,28/02/2014,0.00198,0.00198,0.001,0.001,0.001,2,28/02/2014,14.84,15.05,14,15.05,15.05,2300
1/03/2014,573.940002,564.070007,262.769989,557.390015,557.390015,250331,1/03/2014,0,0,0,0,0,0,1/03/2014,0.001,0.00197,0.00021,0.00197,0.00197,2,1/03/2014,15.05,15.05,13.54,13.54,13.54,258
2/03/2014,557.390015,562.929993,541.539978,544.559998,544.559998,469498,2/03/2014,0,0,0,0,0,0,2/03/2014,0.00197,0.00197,0.001,0.001,0.001,1,2/03/2014,13.54,13.54,12.86,12.86,12.86,125
3/03/2014,544.559998,695.440002,545.419983,662.179993,662.179993,794976,3/03/2014,0,0,0,0,0,0,3/03/2014,0.001,0.0013,0.001,0.0013,0.0013,0,3/03/2014,12.86,15.49,12.86,14.24,14.24,2202
4/03/2014,662.179993,686.219971,645.159973,661.849976,661.849976,947328,4/03/2014,0,0,0,0,0,0,4/03/2014,0.0013,0.0013,0.0013,0.0013,0.0013,0,4/03/2014,14.24,19.9,14.24,17.110001,17.110001,8051
5/03/2014,661.849976,665.969971,636.77002,658.299988,658.299988,855787,5/03/2014,0,0,0,0,0,0,5/03/2014,0.0013,0.0013,0.0013,0.0013,0.0013,0,5/03/2014,17.110001,18.030001,15.01,17.34,17.34,980
6/03/2014,658.299988,661.830017,636.219971,648.26001,648.26001,1367401,6/03/2014,0,0,0,0,0,0,6/03/2014,0.0013,0.0013,0.0013,0.0013,0.0013,0,6/03/2014,17.34,17.5,16.82,16.82,16.82,784
7/03/2014,648.26001,655.200012,600.309998,616.72998,616.72998,1498290,7/03/2014,0,0,0,0,0,0,7/03/2014,0.0013,0.0013,0.0013,0.0013,0.0013,0,7/03/2014,16.82,16.889999,16.43,16.889999,16.889999,1205
8/03/2014,616.72998,625.679993,588.580017,609.210022,609.210022,1335982,8/03/2014,0,0,0,0,0,0,8/03/2014,0.0013,0.0013,0.0009,0.0009,0.0009,1,8/03/2014,16.889999,16.889999,15.56,15.56,15.56,69
9/03/2014,609.210022,637.599976,598.51001,627.049988,627.049988,1209993,9/03/2014,0,0,0,0,0,0,9/03/2014,0.0009,0.0009,0.0007,0.0007,0.0007,0,9/03/2014,15.56,16.969999,15.56,16.16,16.16,918
10/03/2014,627.049988,633.679993,594.700012,612.969971,612.969971,1648979,10/03/2014,0,0,0,0,0,0,10/03/2014,0.0007,0.0007,0.0007,0.0007,0.0007,0,10/03/2014,16.16,16.700001,15.98,16.209999,16.209999,2181
11/03/2014,612.969971,619.700012,599.919983,608.690002,608.690002,1520733,11/03/2014,0,0,0,0,0,0,11/03/2014,0.0007,0.00135,0.0007,0.00135,0.00135,1,11/03/2014,16.209999,16.700001,16.209999,16.219999,16.219999,40
12/03/2014,608.690002,640.789978,608.200012,619.429993,619.429993,2022394,12/03/2014,0,0,0,0,0,0,12/03/2014,0.00135,0.00135,0.0007,0.0007,0.0007,0,12/03/2014,16.219999,17.77,16.219999,17.75,17.75,3535
13/03/2014,619.429993,636.130005,616.059998,625.039978,625.039978,2168407,13/03/2014,0,0,0,0,0,0,13/03/2014,0.0007,0.00099,0.0007,0.00099,0.00099,4,13/03/2014,17.75,17.780001,17,17.780001,17.780001,812
14/03/2014,625.039978,631.22998,610.609985,614.030029,614.030029,2514218,14/03/2014,0,0,0,0,0,0,14/03/2014,0.00099,0.00099,0.00099,0.00099,0.00099,0,14/03/2014,17.780001,17.84,17,17,17,298
15/03/2014,614.030029,628.830017,609.179993,624.030029,624.030029,2168732,15/03/2014,0,0,0,0,0,0,15/03/2014,0.00099,0.00099,0.00099,0.00099,0.00099,0,15/03/2014,17,17.74,16.870001,17.16,17.16,119
